#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-21T02:42:53 [V7.5.8]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-21T02:42:54	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/PASP/122/1397/s4g&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.8	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_61221397
#Name: J/PASP/122/1397
#Title: Spitzer Survey of Stellar Structure in Galaxies (Sheth+, 2010)
#INFO	ivoid=ivo://cds.vizier/j/pasp/122/1397	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/pasp/122/1397	    IVOID of underlying data collection
#INFO	creator=Sheth K.	    First author or institution
#INFO	cites=bibcode:2010PASP..122.1397S	    Article or Data origin sources
#INFO	journal=PASP	    Journal name
#INFO	original_date=2010	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/PASP/122/1397	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.61221397	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-09-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_PASP_122_1397_s4g:
#Name: J/PASP/122/1397/s4g
#Title: S^4^G catalog Version 2 (2013-09)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	A	(A1)	Simbad column added by the CDS	[ucd=meta.note]
#Column	Name	(a10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	amaj	(F5.1)	? Semi-major axis at level {mu}(3.6um)=25.5mag(AB)/arcsec^2^	[ucd=phys.angSize.smajAxis]
#Column	PA	(F6.1)	[-160/90]? Position angle of major axis	[ucd=pos.posAng]
#Column	ell	(F6.3)	[0/1]? Ellipticity (1-b/a)	[ucd=src.ellipticity]
#Column	[3.6]	(F6.3)	? Spitzer/IRAC 3.6um asymptotic magnitude (AB)	[ucd=phot.mag;em.IR.3-4um]
#Column	e_[3.6]	(F6.3)	? Mean error on [3.6]	[ucd=stat.error]
#Column	[4.5]	(F6.3)	? Spitzer/IRAC 4.5um asymptotic magnitude (AB)	[ucd=phot.mag;em.IR.4-8um]
#Column	e_[4.5]	(F6.3)	? Growth-curve fitting error in [4.5]	[ucd=stat.error]
#Column	c31	(F6.3)	[1/]? r(75%)/r(25%) concentration index at 3.6um	[ucd=meta.code;spect.index;em.IR.3-4um]
#Column	c42	(F6.3)	? 5*log10(r(80%)/r(20%)) concentration index at 3.6um	[ucd=meta.code;spect.index;em.IR.3-4um]
#Column	M3.6	(F7.3)	? Absolute magnitude at 3.6um	[ucd=phys.magAbs;em.IR.3-4um]
#Column	M4.5	(F7.3)	? Absolute magnitude at 4.5um	[ucd=phys.magAbs;em.IR.4-8um]
#Column	logM*	(F6.3)	? Stellar mass	[ucd=phys.mass]
#Column	Dmean	(F7.3)	? Mean redshift-independent distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dmean	(F6.3)	? Standard deviation of Dmean	[ucd=stat.error]
#Column	TT	(F4.1)	? Morphological type code	[ucd=meta.code;src.morph.type]
#Column	e_TT	(F4.1)	? Error on TT	[ucd=stat.error]
#Column	Vr	(F7.1)	? Heliocentric radial velocity from radio measurement	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	e_Vr	(F4.1)	? Mean error on Vr	[ucd=stat.error]
#Column	S4G	(A3)	See the NASA/IPAC details for this galaxy	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	LEDA	(A4)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	A	Name	RAJ2000	DEJ2000	amaj	PA	ell	[3.6]	e_[3.6]	[4.5]	e_[4.5]	c31	c42	M3.6	M4.5	logM*	Dmean	e_Dmean	TT	e_TT	Vr	e_Vr	S4G	Simbad	NED	LEDA
    1664	 	ESO469-008	345.95844	-28.74399	 47.7	  47.2	 0.685	15.686	 0.030	16.343	 0.021	 2.724	 2.830	-16.117	-15.460	 8.743	       	      	 9.0	 0.5	 1763.3	 5.0	S4G	Simbad	NED	LEDA
    1665	 	ESO469-015	347.23175	-30.85807	 49.7	 -32.2	 0.687	13.552	 0.001	13.975	 0.002	 2.595	 2.610	-18.641	-18.218	 9.579	 27.455	 5.063	 3.5	 1.0	 1636.4	 5.2	S4G	Simbad	NED	LEDA
    1666	 	ESO471-006	355.93785	-31.95930	101.5	  50.1	 0.700	14.033	 0.004	14.455	 0.007	 2.469	 2.458	-14.816	-14.394	 8.049	  5.885	 1.752	 8.6	 1.0	  270.6	 6.2	S4G	Simbad	NED	LEDA
    1667	 	ESO476-010	021.67604	-25.31496	 44.2	  21.6	 0.629	15.466	 0.002	15.778	 0.004	 2.360	 2.366	-16.230	-15.917	 8.533	 21.829	 1.673	 8.8	 1.0	 1604.0	 3.8	S4G	Simbad	NED	LEDA
    1668	 	ESO477-016	029.06656	-22.90098	 49.0	 -28.9	 0.709	13.990	 0.001	14.357	 0.003	 3.072	 3.003	-18.837	-18.470	 9.616	 36.763	 6.049	 4.2	 0.7	 1825.5	 6.0	S4G	Simbad	NED	LEDA
    1669	 	ESO479-004	036.58979	-24.29105	 83.6	  54.5	 0.467	12.726	 0.001	13.105	 0.001	 2.959	 2.939	-18.713	-18.334	 9.575	 19.400	 1.130	 8.5	 0.7	 1510.0	 4.4	S4G	Simbad	NED	LEDA
    1670	 	ESO479-025	040.53108	-24.13071	 55.4	  54.1	 0.673	13.587	 0.001	13.967	 0.003	 2.859	 2.839	-17.825	-17.444	 9.221	       	      	 5.5	 2.3	 1541.0	 6.6	S4G	Simbad	NED	LEDA
    1671	 	NGC4369   	186.15083	+39.38295	 81.2	  74.8	 0.021	11.409	 0.001	11.831	 0.001	 4.839	 4.181	-20.264	-19.841	10.228	 21.600	      	 1.0	 0.9	 1051.8	 3.9	S4G	Simbad	NED	LEDA
    1672	 	NGC4370   	186.22889	+07.44446	 95.5	  73.2	 0.400	11.822	 0.004	12.330	 0.002	 5.384	 4.473	-20.683	-20.175	10.459	 31.700	 9.707	 0.9	 1.0	  781.8	 7.9	S4G	Simbad	NED	LEDA
    1673	 	NGC4371   	186.23104	+11.70425	186.0	  87.7	 0.489	10.320	 0.001	10.827	 0.001	 5.480	 4.455	-20.807	-20.300	10.508	 16.800	 1.559	-1.3	 0.6	       	    	S4G	Simbad	NED	LEDA
    1674	 	NGC4374   	186.26566	+12.88695	477.3	 -53.9	 0.319	 8.737	 0.001	 9.206	 0.001	 6.940	 5.186	-22.394	-21.925	11.115	 16.838	 2.362	-4.3	 1.2	  910.0	 7.6	S4G	Simbad	NED	LEDA
    1675	 	NGC4376   	186.32520	+05.74111	 57.4	 -21.4	 0.331	13.534	 0.006	13.978	 0.002	 2.809	 2.807	-17.595	-17.151	 9.176	       	      	 9.9	 0.4	 1137.4	 5.0	S4G	Simbad	NED	LEDA
    1676	 	NGC4378   	186.32550	+04.92514	123.2	 -12.5	 0.158	10.938	 0.002	11.518	 0.001	 6.875	 5.266	-21.278	-20.698	10.750	 27.750	10.394	 1.0	 0.3	 2552.9	 4.9	S4G	Simbad	NED	LEDA
    1677	 	NGC4380   	186.34242	+10.01682	144.2	 -23.8	 0.444	11.148	 0.001	11.641	 0.001	 3.010	 3.065	-20.365	-19.872	10.321	 20.071	 3.673	 2.3	 0.9	  966.1	 5.6	S4G	Simbad	NED	LEDA
    1678	 	NGC4383   	186.35633	+16.47004	 85.3	   9.6	 0.335	11.768	 0.001	12.121	 0.001	 4.663	 4.087	-19.732	-19.379	 9.964	 19.950	 3.122	 1.0	 0.5	 1710.5	 4.5	S4G	Simbad	NED	LEDA
    1679	 	NGC4384   	186.29987	+54.50634	 45.1	  84.4	 0.258	13.001	 0.001	13.379	 0.001	 3.049	 3.079	-19.816	-19.438	10.016	 36.600	      	 1.0	 0.4	 2529.3	 5.1	S4G	Simbad	NED	LEDA
    1680	 	NGC4385   	186.42838	+00.57268	 74.9	  74.8	 0.421	12.266	 0.001	12.620	 0.005	 6.421	 4.988	-20.359	-20.006	10.216	 33.500	      	-0.5	 1.9	 2137.4	 3.7	S4G	Simbad	NED	LEDA
    1681	 	NGC4388   	186.44490	+12.66209	218.4	 -88.4	 0.691	10.391	 0.001	10.591	 0.001	 5.149	 5.027	-21.258	-21.058	10.462	 21.369	 6.601	 2.8	 0.6	 2517.7	 4.1	S4G	Simbad	NED	LEDA
    1682	 	NGC4389   	186.39541	+45.68503	 96.1	 -81.1	 0.322	11.588	 0.001	12.013	 0.001	 3.101	 3.083	-19.299	-18.875	 9.844	 15.050	 1.082	 4.1	 0.5	  719.9	 3.4	S4G	Simbad	NED	LEDA
    1683	 	NGC4390   	186.46114	+10.45911	 63.7	  88.3	 0.260	12.939	 0.003	13.395	 0.001	 2.612	 2.654	-19.080	-18.624	 9.780	 25.340	 5.537	 5.0	 0.8	 1101.9	 4.6	S4G	Simbad	NED	LEDA
    1684	 	NGC4393   	186.46374	+27.56097	101.2	  -0.2	 0.291	13.133	 0.002	13.523	 0.005	 3.200	 3.151	-16.994	-16.604	 8.896	 10.600	 1.273	 6.7	 0.7	  747.7	 6.6	S4G	Simbad	NED	LEDA
    1685	 	NGC4394   	186.48184	+18.21395	159.9	 -57.6	 0.136	10.601	 0.002	11.167	 0.001	 6.225	 4.955	-20.526	-19.960	10.440	 16.800	      	 3.0	 0.4	  915.4	 4.7	S4G	Simbad	NED	LEDA
    1686	 	NGC4395   	186.45360	+33.54686	239.0	 -63.9	 0.303	11.220	 0.001	11.579	 0.002	 2.541	 2.592	-17.041	-16.683	 8.892	  4.491	 1.105	 8.9	 0.4	  317.8	 2.9	S4G	Simbad	NED	LEDA
    1687	 	NGC4396   	186.49516	+15.67162	125.2	 -57.0	 0.618	12.414	 0.002	12.866	 0.004	 3.369	 3.259	       	       	      	       	      	 6.9	 0.7	 -123.5	 3.7	S4G	Simbad	NED	LEDA
    1688	 	NGC4402   	186.53118	+13.11251	150.2	  89.1	 0.649	10.837	 0.001	11.247	 0.001	 2.854	 2.903	-20.278	-19.869	10.225	 16.717	 4.721	 3.3	 0.8	  232.7	 3.7	S4G	Simbad	NED	LEDA
    1689	 	NGC4405   	186.52975	+16.18105	 80.2	  16.4	 0.255	11.931	 0.001	12.435	 0.001	 3.208	 3.154	-20.141	-19.637	10.239	       	      	-0.1	 0.4	 1740.8	 6.0	S4G	Simbad	NED	LEDA
    1690	 	NGC4406   	186.54895	+12.94617	     	      	      	      	      	 9.107	 0.001	      	      	       	-21.941	      	 16.197	 1.722	-4.8	 0.5	 -302.0	 4.6	S4G	Simbad	NED	LEDA
    1691	 	NGC4409   	186.74355	+02.49457	 66.2	   9.0	 0.411	12.053	 0.001	12.466	 0.001	 2.425	 2.447	-19.355	-18.942	 9.858	 19.125	 2.781	 4.7	 0.9	 1692.3	 3.8	S4G	Simbad	NED	LEDA
    1692	 	NGC4411A  	186.62459	+08.87220	 73.1	 -70.0	 0.125	13.382	 0.005	13.838	 0.003	 2.705	 2.729	-17.745	-17.289	 9.245	 16.800	      	 5.4	 0.6	 1280.2	 3.7	S4G	Simbad	NED	LEDA
    1693	 	NGC4411B  	186.69682	+08.88460	 88.7	  37.2	 0.075	12.882	 0.001	13.354	 0.001	 2.721	 2.799	-18.244	-17.772	 9.457	 16.800	      	 6.3	 1.0	 1270.8	 3.1	S4G	Simbad	NED	LEDA
    1694	 	NGC4412   	186.65036	+03.96470	 63.2	 -82.5	 0.062	12.146	 0.001	12.588	 0.001	 2.651	 2.859	-20.611	-20.170	10.382	 35.600	      	 3.1	 0.5	 2293.9	 6.5	S4G	Simbad	NED	LEDA
    1695	 	NGC4413   	186.63450	+12.61161	 99.9	  64.8	 0.309	12.097	 0.001	12.543	 0.002	 3.323	 3.387	-19.013	-18.567	 9.745	 16.675	 0.377	 2.0	 1.1	  102.7	 4.5	S4G	Simbad	NED	LEDA
    1696	 	NGC4414   	186.61303	+31.22345	153.5	 -15.7	 0.222	 9.429	 0.001	 9.861	 0.001	 3.247	 3.330	-21.885	-21.453	10.883	 18.312	 2.402	 5.2	 0.6	  718.2	 6.4	S4G	Simbad	NED	LEDA
    1697	 	NGC4416   	186.69473	+07.91856	 65.8	  88.4	 0.131	12.514	 0.004	12.944	 0.003	 2.846	 2.909	-19.047	-18.617	 9.747	       	      	 5.9	 0.5	 1390.0	 4.6	S4G	Simbad	NED	LEDA
    1698	 	NGC4419   	186.73524	+15.04743	116.4	 -48.0	 0.550	10.389	 0.001	10.841	 0.001	 4.403	 4.043	-20.781	-20.329	10.457	 17.140	 3.597	 1.2	 0.9	 -274.6	 4.5	S4G	Simbad	NED	LEDA
    1699	 	NGC4423   	186.78710	+05.87960	 83.2	  19.7	 0.766	13.573	 0.001	13.981	 0.001	 3.084	 3.047	-18.033	-17.625	 9.325	 20.950	 2.899	 7.8	 0.8	 1120.0	 6.5	S4G	Simbad	NED	LEDA
    1700	 	NGC5566   	215.08293	+03.93374	230.7	  35.5	 0.611	10.049	 0.001	10.518	 0.001	 6.841	 5.192	-21.790	-21.322	10.873	 23.333	 3.153	 1.6	 0.7	 1495.0	 4.5	S4G	Simbad	NED	LEDA
    1701	 	NGC5569   	215.13369	+03.98321	 74.4	 -68.5	 0.283	13.752	 0.023	14.043	 0.036	 3.305	 3.227	-17.451	-17.159	 9.006	 17.400	      	 5.8	 0.5	 1773.4	 3.0	S4G	Simbad	NED	LEDA
    1702	 	NGC5574   	215.23324	+03.23800	115.0	  37.4	 0.388	12.034	 0.002	12.562	 0.002	 4.683	 4.203	-19.863	-19.334	10.146	 23.950	 4.792	-2.8	 0.7	 1657.1	 7.4	S4G	Simbad	NED	LEDA
    1703	 	NGC5576   	215.26535	+03.27091	179.4	  83.0	 0.239	10.410	 0.001	10.905	 0.001	 8.951	 5.748	-21.485	-20.990	10.770	 23.930	 2.432	-4.8	 0.4	 1482.0	11.5	S4G	Simbad	NED	LEDA
    1704	 	NGC5577   	215.30461	+03.43580	110.6	  53.7	 0.676	12.306	 0.002	12.740	 0.001	 2.824	 2.819	-19.501	-19.067	 9.931	 22.985	 3.324	 3.8	 0.6	 1487.5	 3.6	S4G	Simbad	NED	LEDA
    1705	 	NGC5584   	215.59907	-00.38768	117.5	 -21.6	 0.257	11.823	 0.001	12.245	 0.001	 2.497	 2.492	-20.312	-19.890	10.248	 26.736	 5.515	 6.0	 0.3	 1638.1	 2.9	S4G	Simbad	NED	LEDA
    1706	 	NGC5585   	214.95043	+56.72940	162.5	  36.4	 0.384	11.668	 0.001	12.075	 0.005	 3.199	 3.139	-18.017	-17.610	 9.318	  8.651	 1.094	 6.9	 0.5	  301.6	 2.9	S4G	Simbad	NED	LEDA
    1707	 	NGC5587   	215.54464	+13.91803	 72.5	 -18.0	 0.668	12.354	 0.001	12.836	 0.001	 3.057	 3.205	-20.312	-19.830	10.292	       	      	-0.1	 0.4	 2303.0	 5.8	S4G	Simbad	NED	LEDA
    1708	 	NGC5595   	216.05517	-16.72305	 78.3	  47.7	 0.400	11.532	 0.001	11.882	 0.001	 2.821	 2.862	-21.259	-20.910	10.572	 36.160	 2.309	 4.9	 0.6	 2697.3	 5.4	S4G	Simbad	NED	LEDA
    1709	 	NGC5597   	216.11427	-16.76288	 97.3	 -55.3	 0.332	11.706	 0.001	12.104	 0.001	 6.834	 5.006	-21.227	-20.829	10.596	 38.600	      	 6.0	 0.3	 2700.3	 8.4	S4G	Simbad	NED	LEDA
    1710	 	NGC5600   	215.95635	+14.63876	 58.8	 -15.8	 0.049	11.795	 0.001	12.227	 0.001	 3.135	 3.143	-22.924	-22.492	11.299	 87.840	28.554	 4.8	 0.6	 2311.5	 5.8	S4G	Simbad	NED	LEDA
    1711	 	NGC5602   	215.57839	+50.50137	 60.6	 -12.4	 0.417	12.308	 0.001	12.799	 0.001	 6.701	 4.719	-20.408	-19.916	10.337	       	      	 1.0	 0.4	 2220.0	 7.9	S4G	Simbad	NED	LEDA
    1712	 	NGC5604   	216.17832	-03.21220	 65.4	  22.1	 0.393	12.131	 0.001	12.519	 0.002	 2.863	 2.929	-20.975	-20.587	10.487	 41.800	 1.794	 1.3	 1.1	 2747.7	 3.5	S4G	Simbad	NED	LEDA
    1713	 	NGC5608   	215.82285	+41.77600	 81.6	 -78.3	 0.504	13.639	 0.142	14.413	 0.004	 3.172	 3.199	-17.270	-16.496	 9.291	 15.200	 3.536	 9.8	 1.0	  663.5	 6.1	S4G	Simbad	NED	LEDA
    1714	 	NGC5624   	216.64680	+51.58553	 43.7	  19.2	 0.234	13.935	 0.013	14.392	 0.005	 3.138	 3.031	-18.507	-18.049	 9.551	       	      	 3.8	 2.7	 1923.0	 8.2	S4G	Simbad	NED	LEDA
    1715	 	NGC5630   	216.90234	+41.25776	 63.1	 -87.1	 0.631	13.242	 0.001	13.601	 0.001	 2.934	 2.873	-19.365	-19.006	 9.822	 33.217	 6.569	 7.9	 0.7	 2656.5	 8.7	S4G	Simbad	NED	LEDA
    1716	 	NGC5631   	216.63872	+56.58262	119.2	  20.0	 0.156	10.945	 0.005	11.511	 0.002	 7.345	 5.354	-21.425	-20.859	10.799	 29.775	 2.744	-1.9	 0.4	 1979.0	29.3	S4G	Simbad	NED	LEDA
    1717	 	NGC5633   	216.86823	+46.14651	 56.1	  12.3	 0.196	11.960	 0.001	12.374	 0.001	 2.398	 2.478	-21.052	-20.638	10.538	 40.037	 7.527	 3.2	 0.6	 2330.5	 4.0	S4G	Simbad	NED	LEDA
    1718	 	UGC04800  	137.33099	+54.91184	 53.2	 -64.4	 0.661	14.127	 0.003	14.555	 0.001	 2.524	 2.556	-19.144	-18.716	 9.785	 45.100	 0.566	 5.9	 0.5	 2432.5	 8.5	S4G	Simbad	NED	LEDA
    1719	 	UGC04824  	137.89078	+51.25432	 81.0	 -81.5	 0.720	13.691	 0.002	14.137	 0.002	 2.685	 2.638	-18.857	-18.411	 9.682	 32.333	 2.312	 6.4	 0.9	 2185.4	 3.7	S4G	Simbad	NED	LEDA
    1720	 	UGC04834  	137.96202	+34.96356	 36.8	 -66.7	 0.416	15.710	 0.004	16.288	 0.002	 3.064	 3.045	-16.737	-16.160	 8.932	       	      	 8.0	 0.5	 2070.6	 6.7	S4G	Simbad	NED	LEDA
    1721	 	UGC04837  	138.03960	+35.53160	 41.5	 -20.4	 0.317	15.042	 0.005	15.667	 0.048	 2.621	 2.652	-17.262	-16.638	 9.177	 28.900	      	 8.7	 0.5	 1879.3	 3.6	S4G	Simbad	NED	LEDA
    1722	 	UGC04841  	138.69889	+74.23240	 99.1	 -39.0	 0.286	13.133	 0.011	13.591	 0.005	 2.660	 2.677	-19.048	-18.590	 9.769	 27.300	 9.758	 6.9	 0.4	 1127.0	 3.4	S4G	Simbad	NED	LEDA
    1723	 	UGC04845  	138.10780	+09.95541	 72.5	 -67.6	 0.662	14.175	 0.010	14.699	 0.047	 3.479	 3.451	-18.904	-18.381	 9.759	 41.300	 2.404	 6.9	 0.7	 2114.6	 5.7	S4G	Simbad	NED	LEDA
    1724	 	UGC04867  	138.67967	+40.87993	 58.6	 -88.0	 0.372	14.499	 0.006	14.905	 0.012	 3.737	 3.518	-18.361	-17.955	 9.455	       	      	 7.0	 0.5	 2497.1	 4.1	S4G	Simbad	NED	LEDA
    1725	 	UGC04871  	138.73392	+39.26273	 46.9	  14.6	 0.586	15.595	 0.013	16.069	 0.004	 2.192	 2.173	-17.267	-16.793	 9.068	       	      	 8.8	 0.5	 2506.2	 5.4	S4G	Simbad	NED	LEDA
    1726	 	ESO157-049	069.90369	-53.01257	 59.9	  30.4	 0.644	12.652	 0.001	13.039	 0.001	 2.929	 2.870	-19.278	-18.891	 9.807	 24.322	 0.591	 5.5	 2.9	 1676.4	 6.8	S4G	Simbad	NED	LEDA
    1727	 	ESO159-025	085.77587	-52.70614	 39.1	  73.0	 0.197	15.192	 0.021	15.541	 0.004	 2.787	 2.838	-15.168	-14.819	 8.135	 11.800	      	10.0	 0.4	 1100.2	 5.5	S4G	Simbad	NED	LEDA
    1728	 	ESO187-035	314.23324	-55.72053	 42.8	 -54.8	 0.411	15.424	 0.011	15.685	 0.035	 3.217	 3.198	-16.667	-16.407	 8.670	 26.200	      	 9.0	 0.4	 2068.0	 7.0	S4G	Simbad	NED	LEDA
    1729	 	ESO187-051	316.88834	-54.95037	 61.4	  13.4	 0.553	15.029	 0.008	15.391	 0.008	 3.021	 3.017	-16.097	-15.735	 8.517	 16.800	      	 9.0	 0.4	 1403.6	 6.4	S4G	Simbad	NED	LEDA
    1730	 	ESO202-035	068.06868	-49.67589	 76.0	 -47.7	 0.742	12.610	 0.001	12.991	 0.001	 2.861	 2.857	-19.275	-18.895	 9.802	 23.829	 2.299	 3.5	 1.1	 1874.1	 6.3	S4G	Simbad	NED	LEDA
    1731	 	ESO202-041	069.23617	-52.17518	 37.4	 -19.5	 0.420	15.660	 0.005	16.089	 0.004	 3.204	 3.092	-15.488	-15.059	 8.322	 16.967	 4.182	 8.9	 0.6	 1660.4	 5.4	S4G	Simbad	NED	LEDA
    1732	 	ESO234-043	308.05724	-48.53057	 57.8	 -78.8	 0.292	14.495	 0.001	14.832	 0.004	 3.410	 3.267	-17.658	-17.321	 9.122	 26.950	 4.383	 8.9	 0.5	 2440.7	 4.9	S4G	Simbad	NED	LEDA
    1733	 	ESO234-049	308.82525	-49.86563	 58.8	  41.9	 0.161	13.107	 0.003	13.488	 0.001	 2.955	 2.878	-19.542	-19.161	 9.909	       	      	 4.1	 0.5	 2586.9	 8.5	S4G	Simbad	NED	LEDA
    1734	 	ESO236-039	326.31102	-49.00864	 28.4	  84.7	 0.375	15.648	 0.002	16.077	 0.004	 2.595	 2.584	-15.837	-15.408	 8.462	       	      	 8.6	 2.1	 1601.0	 6.4	S4G	Simbad	NED	LEDA
    1735	 	ESO237-049	334.01247	-47.66214	 72.0	  34.0	 0.826	14.668	 0.009	15.130	 0.003	 3.012	 3.077	-18.038	-17.576	 9.367	 34.764	 2.559	 6.0	 0.5	 2914.5	 6.0	S4G	Simbad	NED	LEDA
    1736	 	ESO237-052	334.44754	-49.25970	 50.0	  59.8	 0.496	14.372	 0.009	14.807	 0.008	 3.075	 3.027	-18.437	-18.002	 9.506	 36.460	 3.409	 7.5	 1.5	 2897.0	 6.6	S4G	Simbad	NED	LEDA
    1737	 	ESO238-018	338.93320	-50.89100	 32.7	  -1.3	 0.088	14.527	 0.008	14.992	 0.003	 2.642	 2.679	-18.407	-17.942	 9.517	       	      	 5.5	 1.3	 2953.9	 6.3	S4G	Simbad	NED	LEDA
    1738	 	ESO240-004	351.97143	-51.13191	 43.5	 -38.7	 0.737	15.905	 0.118	16.357	 0.019	 3.431	 3.370	-15.858	-15.406	 8.488	 22.520	 2.647	 6.7	 0.8	 1573.0	 7.6	S4G	Simbad	NED	LEDA
    1739	 	ESO240-011	354.45588	-47.72733	137.4	 -51.6	 0.738	11.109	 0.001	11.559	 0.001	 3.448	 3.373	-21.975	-21.526	10.933	 41.388	 7.353	 4.9	 0.5	 2841.4	 4.2	S4G	Simbad	NED	LEDA
    1740	 	ESO245-005	026.26605	-43.59854	 93.5	 -53.6	 0.188	13.738	 0.001	14.378	 0.002	 2.703	 2.632	-14.375	-13.734	 8.034	  4.193	 0.517	 9.9	 0.3	  394.1	 3.9	S4G	Simbad	NED	LEDA
    1741	 	ESO245-007	027.77482	-44.44464	 95.1	 -88.2	 0.240	13.883	 0.027	14.482	 0.004	 2.055	 1.969	 -9.208	 -8.609	 5.937	  0.415	 0.033	 9.5	 2.3	       	    	S4G	Simbad	NED	LEDA
    1742	 	ESO248-002	046.27623	-45.96182	102.5	  14.1	 0.753	13.570	 0.001	13.957	 0.011	 2.584	 2.597	-17.920	-17.533	 9.265	 19.867	 1.337	 6.9	 0.7	 1389.2	 5.9	S4G	Simbad	NED	LEDA
    1743	 	ESO249-008	054.32872	-43.58639	 39.8	 -24.2	 0.342	14.260	 0.008	14.691	 0.001	 3.482	 3.349	-16.488	-16.057	 8.724	       	      	 1.3	 3.3	 1254.6	 6.4	S4G	Simbad	NED	LEDA
    1744	 	ESO249-026	058.55370	-43.75734	 36.4	  -9.9	 0.541	16.001	 0.010	16.548	 0.004	 3.084	 3.040	-13.891	-13.344	 7.771	       	      	 7.2	 3.5	  929.8	 7.1	S4G	Simbad	NED	LEDA
    1745	 	ESO249-027	058.62285	-44.75316	 54.6	  83.5	 0.667	15.124	 0.001	15.661	 0.002	 2.996	 2.971	-15.566	-15.029	 8.434	       	      	 9.9	 0.6	 1232.6	 6.8	S4G	Simbad	NED	LEDA
    1746	 	ESO249-035	059.73779	-45.85919	 35.5	 -81.8	 0.833	17.009	 0.002	17.500	 0.026	 3.034	 3.030	-14.794	-14.303	 8.091	 22.938	 4.073	 5.9	 0.5	 1031.0	10.0	S4G	Simbad	NED	LEDA
    1747	 	ESO249-036	059.81550	-45.87331	 61.5	 -54.6	 0.355	15.251	 0.014	16.420	 0.032	 2.574	 2.636	-14.615	-13.446	 8.521	  9.400	      	10.0	 0.4	  898.8	 4.5	S4G	Simbad	NED	LEDA
    1748	 	ESO285-048	311.16716	-45.97845	 79.7	  81.9	 0.579	13.271	 0.001	13.661	 0.003	 2.729	 2.751	-19.331	-18.941	 9.831	 33.142	 2.160	 5.9	 0.4	 2718.3	 5.5	S4G	Simbad	NED	LEDA
    1749	 	ESO286-044	316.41101	-42.78128	 47.9	 -60.1	 0.410	13.299	 0.001	13.589	 0.003	 6.549	 4.530	-19.184	-18.894	 9.699	       	      	-0.8	 2.1	 2387.9	 8.0	S4G	Simbad	NED	LEDA
    1750	 	ESO287-009	320.31804	-46.15269	 59.2	 -74.9	 0.761	13.777	 0.001	14.176	 0.004	 2.986	 2.974	-19.445	-19.047	 9.883	 44.111	 9.240	 4.3	 0.7	 2685.8	 5.4	S4G	Simbad	NED	LEDA
    1751	 	ESO287-037	323.63116	-44.31399	 55.5	  50.4	 0.094	13.594	 0.008	13.938	 0.006	 2.953	 2.895	-19.070	-18.726	 9.693	       	      	 8.5	 0.6	 2597.1	 9.7	S4G	Simbad	NED	LEDA
    1752	 	ESO287-043	324.55062	-43.93412	 64.1	 -69.3	 0.715	14.176	 0.001	14.728	 0.004	 2.710	 2.718	-18.252	-17.699	 9.520	 30.583	 1.943	 5.9	 0.5	 2479.0	 7.6	S4G	Simbad	NED	LEDA
    1753	 	ESO288-013	327.94360	-43.12368	 40.7	 -59.8	 0.086	14.444	 0.012	15.008	 0.001	 2.494	 2.473	-18.194	-17.629	 9.505	       	      	 9.0	 0.4	 2564.0	10.6	S4G	Simbad	NED	LEDA
    1754	 	ESO289-010	334.18039	-47.11870	 71.7	 -56.9	 0.802	14.158	 0.002	14.503	 0.016	 2.850	 2.866	-18.779	-18.434	 9.576	 38.667	 2.784	 6.8	 0.7	 2770.7	 7.1	S4G	Simbad	NED	LEDA
    1755	 	UGC09760  	228.00954	+01.69827	 74.8	  59.7	 0.814	15.517	 0.026	15.851	 0.015	 2.898	 2.842	-16.382	-16.048	 8.610	 23.975	 6.272	 6.6	 0.8	 2021.1	 4.6	S4G	Simbad	NED	LEDA
