Object,Source catalog,ICRS coordinates,Galaxy age,Redshift (z) / Distance,Morphological type,Angular size,Radial velocity,Physical size,Magnitude,Interest score,Distance method,Data source
PGC 23272,HECATE v1.1 via VizieR,124.520503 19.985071,EST 10.4 billion years — object-specific lenticular/early-type stellar-population model; not a direct measurement,14.48700000 / 595.17 million ly,Lenticular / S0; de Vaucouleurs T=-1.0,0.275 × 0.186 arcmin,"13,234.8 km/s",DERIVED 47.6 × 32.2 thousand ly,15.581 — catalog band requires verification,63.519 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 26339,HECATE v1.1 via VizieR,139.822747 34.008184,EST 10.3 billion years — object-specific early-spiral stellar-population model; not a direct measurement,13.29700000 / 338.30 million ly,Sa–Sb spiral; de Vaucouleurs T=1.1,0.515 × 0.310 arcmin,"7,121.9 km/s",DERIVED 50.7 × 30.5 thousand ly,15.462 — catalog band requires verification,64.598 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 89530,HECATE v1.1 via VizieR,54.750875 15.794361,EST 8.7 billion years — object-specific spiral stellar-population model; not a direct measurement,14.56700000 / 425.77 million ly,Scd–Sd spiral; de Vaucouleurs T=5.9,0.269 × 0.201 arcmin,"9,383.0 km/s",DERIVED 33.3 × 24.9 thousand ly,16.820 — catalog band requires verification,62.256 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 26235,HECATE v1.1 via VizieR,139.373567 25.966331,EST 10.0 billion years — object-specific lenticular/early-type stellar-population model; not a direct measurement,12.56900000 / 311.50 million ly,Lenticular / S0; de Vaucouleurs T=-1.8,0.355 × 0.224 arcmin,"6,536.8 km/s",DERIVED 32.2 × 20.3 thousand ly,14.363 — catalog band requires verification,65.057 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 4534316,HECATE v1.1 via VizieR,157.396779 49.782556,EST 11.4 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,15.82700000 / 347.53 million ly,Elliptical; de Vaucouleurs T=-5.0,0.225 × 0.190 arcmin,"7,366.0 km/s",DERIVED 22.7 × 19.2 thousand ly,16.584 — catalog band requires verification,62.316 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 5057707,HECATE v1.1 via VizieR,12.538127 31.498610,EST 9.2 billion years — object-specific general galaxy stellar-population model; not a direct measurement,17.25800000 / 240.24 million ly,Not available,Not available,"5,255.0 km/s",Not available,Not available,54.000 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 5081090,HECATE v1.1 via VizieR,45.580878 1.272499,EST 8.9 billion years — object-specific general galaxy stellar-population model; not a direct measurement,20.18400000 / 578.18 million ly,Not available,0.023 × 0.023 arcmin,"12,966.4 km/s",DERIVED 3.9 × 3.9 thousand ly,23.505 — catalog band requires verification,58.092 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2388600,HECATE v1.1 via VizieR,79.633542 51.114389,EST 9.0 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 378.55 million ly,Not available,0.251 × 0.218 arcmin,"8,132.0 km/s",DERIVED 27.6 × 24.0 thousand ly,16.160 — catalog band requires verification,58.844 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1508227,HECATE v1.1 via VizieR,48.657166 16.413472,EST 10.0 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 520.09 million ly,Not available,0.362 × 0.166 arcmin,"11,575.0 km/s",DERIVED 54.8 × 25.1 thousand ly,16.370 — catalog band requires verification,59.078 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 12243,HECATE v1.1 via VizieR,49.430043 42.385075,EST 10.5 billion years — object-specific lenticular/early-type stellar-population model; not a direct measurement,13.01800000 / 222.68 million ly,Lenticular / S0; de Vaucouleurs T=-2.0,0.587 × 0.288 arcmin,"4,815.8 km/s",DERIVED 38.0 × 18.7 thousand ly,15.458 — catalog band requires verification,64.890 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 5058956,HECATE v1.1 via VizieR,118.180833 27.034443,EST 9.8 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 354.19 million ly,Not available,0.029 × 0.029 arcmin,"7,740.0 km/s",DERIVED 3.0 × 3.0 thousand ly,Not available,54.116 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 27388,HECATE v1.1 via VizieR,144.330220 33.823708,EST 10.1 billion years — object-specific early-spiral stellar-population model; not a direct measurement,13.67400000 / 327.66 million ly,Sa–Sb spiral; de Vaucouleurs T=2.5,0.516 × 0.126 arcmin,"6,809.7 km/s",DERIVED 49.2 × 12.0 thousand ly,15.723 — catalog band requires verification,64.341 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 10281,HECATE v1.1 via VizieR,40.757458 8.130222,EST 8.9 billion years — object-specific spiral stellar-population model; not a direct measurement,Not available / 519.63 million ly,Sbc–Sc spiral; de Vaucouleurs T=4.0,0.344 × 0.193 arcmin,"11,480.0 km/s",DERIVED 52.0 × 29.2 thousand ly,15.500 — catalog band requires verification,61.876 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 91026,HECATE v1.1 via VizieR,158.316316 28.352852,EST 7.7 billion years — object-specific late-type stellar-population model; not a direct measurement,16.12000000 / 607.91 million ly,Scd–Sd spiral; de Vaucouleurs T=6.5,0.311 × 0.076 arcmin,"13,644.1 km/s",DERIVED 55.0 × 13.4 thousand ly,17.409 — catalog band requires verification,61.835 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2287689,HECATE v1.1 via VizieR,148.338987 46.819159,EST 7.6 billion years — object-specific late-type stellar-population model; not a direct measurement,17.37100000 / 217.85 million ly,Irregular; de Vaucouleurs T=10.0,0.115 × 0.100 arcmin,"4,625.4 km/s",DERIVED 7.3 × 6.3 thousand ly,18.234 — catalog band requires verification,60.460 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1517742,HECATE v1.1 via VizieR,138.497057 16.818796,EST 9.5 billion years — object-specific spiral stellar-population model; not a direct measurement,16.40500000 / 377.64 million ly,Sbc–Sc spiral; de Vaucouleurs T=5.0,0.195 × 0.077 arcmin,"8,232.3 km/s",DERIVED 21.4 × 8.5 thousand ly,18.104 — catalog band requires verification,60.780 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1984785,HECATE v1.1 via VizieR,64.657659 32.189141,EST 9.7 billion years — object-specific general galaxy stellar-population model; not a direct measurement,14.56900000 / 441.08 million ly,Not available,0.275 × 0.115 arcmin,"9,623.0 km/s",DERIVED 35.3 × 14.8 thousand ly,16.750 — catalog band requires verification,60.350 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1987638,HECATE v1.1 via VizieR,126.684821 32.243681,EST 11.0 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,16.38300000 / 348.25 million ly,Elliptical; de Vaucouleurs T=-5.0,0.113 × 0.095 arcmin,"7,520.9 km/s",DERIVED 11.4 × 9.6 thousand ly,17.803 — catalog band requires verification,60.649 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 29036,HECATE v1.1 via VizieR,150.425211 33.136374,EST 7.6 billion years — object-specific late-type stellar-population model; not a direct measurement,14.31500000 / 85.06 million ly,Sm / Magellanic spiral; de Vaucouleurs T=8.0,0.690 × 0.366 arcmin,"1,449.8 km/s",DERIVED 17.1 × 9.1 thousand ly,14.761 — catalog band requires verification,65.999 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1844621,HECATE v1.1 via VizieR,113.659368 28.742926,EST 9.3 billion years — object-specific spiral stellar-population model; not a direct measurement,Not available / 607.26 million ly,Sbc–Sc spiral; de Vaucouleurs T=3.7,0.123 × 0.109 arcmin,"13,680.7 km/s",DERIVED 21.7 × 19.3 thousand ly,17.802 — catalog band requires verification,58.690 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1653235,HECATE v1.1 via VizieR,142.317505 21.592350,EST 9.5 billion years — object-specific spiral stellar-population model; not a direct measurement,16.49500000 / 473.05 million ly,Scd–Sd spiral; de Vaucouleurs T=5.6,0.233 × 0.079 arcmin,"10,357.5 km/s",DERIVED 32.1 × 10.9 thousand ly,17.391 — catalog band requires verification,61.541 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1804803,HECATE v1.1 via VizieR,146.632872 27.331503,EST 8.5 billion years — object-specific spiral stellar-population model; not a direct measurement,15.39000000 / 606.08 million ly,Sbc–Sc spiral; de Vaucouleurs T=3.9,0.199 × 0.114 arcmin,"13,559.4 km/s",DERIVED 35.1 × 20.1 thousand ly,16.811 — catalog band requires verification,61.985 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 6741352,HECATE v1.1 via VizieR,38.450418 35.786389,EST 9.5 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 572.04 million ly,Not available,Not available,"12,657.0 km/s",Not available,Not available,52.000 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3096915,HECATE v1.1 via VizieR,44.209351 41.448338,EST 9.2 billion years — object-specific general galaxy stellar-population model; not a direct measurement,17.48300000 / 237.80 million ly,Not available,0.164 × 0.079 arcmin,"5,206.0 km/s",DERIVED 11.3 × 5.5 thousand ly,Not available,56.656 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 90703,HECATE v1.1 via VizieR,63.505480 26.750033,EST 8.1 billion years — object-specific late-type stellar-population model; not a direct measurement,Not available / 214.50 million ly,Scd–Sd spiral; de Vaucouleurs T=6.5,0.466 × 0.067 arcmin,"5,555.0 km/s",DERIVED 29.1 × 4.2 thousand ly,16.300 — catalog band requires verification,61.564 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1683402,HECATE v1.1 via VizieR,27.732440 23.211441,EST 9.7 billion years — object-specific general galaxy stellar-population model; not a direct measurement,14.38000000 / 455.61 million ly,Not available,0.371 × 0.100 arcmin,"9,934.0 km/s",DERIVED 49.2 × 13.3 thousand ly,17.120 — catalog band requires verification,60.364 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3096935,HECATE v1.1 via VizieR,45.582717 40.900041,EST 9.2 billion years — object-specific general galaxy stellar-population model; not a direct measurement,16.30600000 / 217.91 million ly,Not available,0.187 × 0.086 arcmin,"4,703.0 km/s",DERIVED 11.9 × 5.5 thousand ly,Not available,56.748 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 4016950,HECATE v1.1 via VizieR,114.131253 41.440508,EST 7.6 billion years — object-specific late-type stellar-population model; not a direct measurement,22.82700000 / 141.92 million ly,Irregular; de Vaucouleurs T=10.0,0.180 × 0.086 arcmin,"3,023.1 km/s",DERIVED 7.4 × 3.6 thousand ly,18.923 — catalog band requires verification,60.720 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3379185,HECATE v1.1 via VizieR,122.125440 38.720693,EST 7.1 billion years — object-specific late-type stellar-population model; not a direct measurement,17.05500000 / 445.96 million ly,Irregular; de Vaucouleurs T=10.0,0.231 × 0.127 arcmin,"9,663.5 km/s",DERIVED 30.0 × 16.5 thousand ly,17.953 — catalog band requires verification,60.971 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 8287,HECATE v1.1 via VizieR,32.550000 41.562222,EST 7.5 billion years — object-specific late-type stellar-population model; not a direct measurement,Not available / 169.60 million ly,Sm / Magellanic spiral; de Vaucouleurs T=7.6,0.497 × 0.497 arcmin,"4,370.2 km/s",DERIVED 24.5 × 24.5 thousand ly,18.000 — catalog band requires verification,59.988 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3407812,HECATE v1.1 via VizieR,157.256460 56.257076,EST 11.1 billion years — object-specific lenticular/early-type stellar-population model; not a direct measurement,16.27800000 / 606.41 million ly,Lenticular / S0; de Vaucouleurs T=-2.4,0.123 × 0.123 arcmin,"13,439.9 km/s",DERIVED 21.7 × 21.7 thousand ly,17.691 — catalog band requires verification,60.801 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2453394,HECATE v1.1 via VizieR,169.669970 53.875942,EST 10.2 billion years — object-specific early-spiral stellar-population model; not a direct measurement,14.37700000 / 503.82 million ly,Early spiral / S0-a; de Vaucouleurs T=1.0,0.286 × 0.105 arcmin,"10,915.2 km/s",DERIVED 41.9 × 15.4 thousand ly,16.096 — catalog band requires verification,63.048 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 26049,HECATE v1.1 via VizieR,138.609281 36.112238,EST 10.1 billion years — object-specific early-spiral stellar-population model; not a direct measurement,12.90300000 / 316.51 million ly,Sa–Sb spiral; de Vaucouleurs T=2.5,0.430 × 0.351 arcmin,"6,587.4 km/s",DERIVED 39.6 × 32.3 thousand ly,14.935 — catalog band requires verification,64.785 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 6719533,HECATE v1.1 via VizieR,45.570199 5.937550,EST 8.8 billion years — object-specific general galaxy stellar-population model; not a direct measurement,17.80800000 / 610.39 million ly,Not available,0.099 × 0.037 arcmin,"14,067.2 km/s",DERIVED 17.6 × 6.6 thousand ly,Not available,56.396 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 11701,HECATE v1.1 via VizieR,46.874042 47.516139,EST 9.4 billion years — object-specific spiral stellar-population model; not a direct measurement,Not available / 489.85 million ly,Sbc–Sc spiral; de Vaucouleurs T=5.0,0.267 × 0.267 arcmin,"10,691.0 km/s",DERIVED 38.0 × 38.0 thousand ly,15.923 — catalog band requires verification,61.145 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3340621,HECATE v1.1 via VizieR,121.613742 46.307903,EST 8.1 billion years — object-specific late-type stellar-population model; not a direct measurement,16.22700000 / 487.28 million ly,Irregular; de Vaucouleurs T=10.0,0.273 × 0.223 arcmin,"10,626.9 km/s",DERIVED 38.7 × 31.6 thousand ly,17.313 — catalog band requires verification,61.779 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 14427,HECATE v1.1 via VizieR,61.231461 20.829891,EST 10.3 billion years — object-specific early-spiral stellar-population model; not a direct measurement,Not available / 241.78 million ly,Sa–Sb spiral; de Vaucouleurs T=2.0,0.594 × 0.131 arcmin,"6,163.2 km/s",DERIVED 41.8 × 9.2 thousand ly,15.635 — catalog band requires verification,62.741 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 37722,HECATE v1.1 via VizieR,179.721044 45.733593,EST 7.9 billion years — object-specific late-type stellar-population model; not a direct measurement,Not available / 65.98 million ly,Irregular; de Vaucouleurs T=9.9,0.552 × 0.329 arcmin,"1,152.0 km/s",DERIVED 10.6 × 6.3 thousand ly,16.020 — catalog band requires verification,62.188 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 213641,HECATE v1.1 via VizieR,147.831255 15.748468,EST 10.7 billion years — object-specific lenticular/early-type stellar-population model; not a direct measurement,14.77100000 / 393.53 million ly,Lenticular / S0; de Vaucouleurs T=-2.4,0.187 × 0.187 arcmin,"8,533.4 km/s",DERIVED 21.4 × 21.4 thousand ly,16.305 — catalog band requires verification,62.443 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3530668,HECATE v1.1 via VizieR,143.419153 33.642337,EST 8.0 billion years — object-specific late-type stellar-population model; not a direct measurement,17.17600000 / 379.54 million ly,Irregular; de Vaucouleurs T=10.0,0.175 × 0.109 arcmin,"8,174.5 km/s",DERIVED 19.3 × 12.0 thousand ly,18.150 — catalog band requires verification,60.700 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2077632,HECATE v1.1 via VizieR,64.886459 36.261972,EST 9.7 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 234.60 million ly,Not available,0.239 × 0.095 arcmin,"5,178.0 km/s",DERIVED 16.3 × 6.5 thousand ly,17.210 — catalog band requires verification,57.746 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2580729,HECATE v1.1 via VizieR,160.265661 58.610810,EST 10.9 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,15.04300000 / 438.96 million ly,Elliptical; de Vaucouleurs T=-5.0,0.149 × 0.149 arcmin,"9,380.5 km/s",DERIVED 19.0 × 19.0 thousand ly,16.712 — catalog band requires verification,61.884 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 4234498,HECATE v1.1 via VizieR,155.508192 23.756028,EST 11.5 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,16.50800000 / 546.81 million ly,Elliptical; de Vaucouleurs T=-5.0,0.119 × 0.082 arcmin,"12,126.4 km/s",DERIVED 18.9 × 13.0 thousand ly,18.279 — catalog band requires verification,60.476 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2208392,HECATE v1.1 via VizieR,163.827061 42.894580,EST 9.0 billion years — object-specific spiral stellar-population model; not a direct measurement,16.67500000 / 522.01 million ly,Sbc–Sc spiral; de Vaucouleurs T=5.0,0.162 × 0.055 arcmin,"11,401.2 km/s",DERIVED 24.6 × 8.4 thousand ly,18.100 — catalog band requires verification,60.648 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3731006,HECATE v1.1 via VizieR,127.625211 14.479255,EST 9.1 billion years — object-specific spiral stellar-population model; not a direct measurement,14.90500000 / 606.98 million ly,Sbc–Sc spiral; de Vaucouleurs T=3.5,0.164 × 0.147 arcmin,"13,715.9 km/s",DERIVED 29.0 × 26.0 thousand ly,16.548 — catalog band requires verification,62.108 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 11581,HECATE v1.1 via VizieR,46.154792 42.362861,EST 11.6 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,13.01700000 / 257.16 million ly,Elliptical; de Vaucouleurs T=-5.0,0.301 × 0.301 arcmin,"5,584.0 km/s",DERIVED 22.5 × 22.5 thousand ly,15.680 — catalog band requires verification,63.524 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 74042,HECATE v1.1 via VizieR,28.839875 31.625250,EST 9.6 billion years — object-specific general galaxy stellar-population model; not a direct measurement,15.14900000 / 207.85 million ly,Not available,0.189 × 0.151 arcmin,"4,486.8 km/s",DERIVED 11.4 × 9.1 thousand ly,16.290 — catalog band requires verification,60.466 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 6740928,HECATE v1.1 via VizieR,10.232501 36.073611,EST 9.9 billion years — object-specific general galaxy stellar-population model; not a direct measurement,16.77900000 / 519.23 million ly,Not available,Not available,"11,387.0 km/s",Not available,Not available,54.000 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3445211,HECATE v1.1 via VizieR,119.931757 25.245841,EST 10.2 billion years — object-specific early-spiral stellar-population model; not a direct measurement,14.22800000 / 358.84 million ly,Early spiral / S0-a; de Vaucouleurs T=1.0,0.315 × 0.144 arcmin,"7,859.9 km/s",DERIVED 32.9 × 15.0 thousand ly,16.007 — catalog band requires verification,63.253 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2396475,HECATE v1.1 via VizieR,165.757197 51.584434,EST 8.5 billion years — object-specific spiral stellar-population model; not a direct measurement,16.65000000 / 610.22 million ly,Scd–Sd spiral; de Vaucouleurs T=5.4,0.160 × 0.101 arcmin,"13,742.6 km/s",DERIVED 28.4 × 17.9 thousand ly,17.454 — catalog band requires verification,61.186 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1668437,HECATE v1.1 via VizieR,130.625970 22.358428,EST 7.9 billion years — object-specific late-type stellar-population model; not a direct measurement,16.92500000 / 547.48 million ly,Irregular; de Vaucouleurs T=10.0,0.166 × 0.055 arcmin,"12,202.1 km/s",DERIVED 26.4 × 8.8 thousand ly,17.844 — catalog band requires verification,60.820 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 21737,HECATE v1.1 via VizieR,116.503094 28.699657,EST 9.3 billion years — object-specific spiral stellar-population model; not a direct measurement,14.71300000 / 335.13 million ly,Sbc–Sc spiral; de Vaucouleurs T=4.2,0.218 × 0.180 arcmin,"7,086.6 km/s",DERIVED 21.3 × 17.5 thousand ly,15.784 — catalog band requires verification,63.088 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 26189,HECATE v1.1 via VizieR,139.194264 34.431685,EST 8.0 billion years — object-specific late-type stellar-population model; not a direct measurement,Not available / 82.29 million ly,Sm / Magellanic spiral; de Vaucouleurs T=8.7,0.558 × 0.558 arcmin,"1,684.1 km/s",DERIVED 13.4 × 13.4 thousand ly,13.390 — catalog band requires verification,64.842 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 4152791,HECATE v1.1 via VizieR,120.960487 15.493273,EST 9.3 billion years — object-specific spiral stellar-population model; not a direct measurement,17.09600000 / 533.32 million ly,Sbc–Sc spiral; de Vaucouleurs T=5.0,0.248 × 0.063 arcmin,"11,903.6 km/s",DERIVED 38.5 × 9.8 thousand ly,18.431 — catalog band requires verification,60.992 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 4152603,HECATE v1.1 via VizieR,120.869999 34.217026,EST 9.4 billion years — object-specific general galaxy stellar-population model; not a direct measurement,18.12100000 / 523.04 million ly,Not available,0.093 × 0.062 arcmin,"11,542.0 km/s",DERIVED 14.1 × 9.4 thousand ly,18.881 — catalog band requires verification,58.372 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 4090253,HECATE v1.1 via VizieR,146.057259 34.260984,EST 7.2 billion years — object-specific late-type stellar-population model; not a direct measurement,17.27900000 / 524.05 million ly,Irregular; de Vaucouleurs T=10.0,0.067 × 0.048 arcmin,"11,523.9 km/s",DERIVED 10.2 × 7.3 thousand ly,18.248 — catalog band requires verification,60.268 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1668157,HECATE v1.1 via VizieR,39.635876 22.341861,EST 9.6 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 433.45 million ly,Not available,0.190 × 0.190 arcmin,"9,490.0 km/s",DERIVED 24.0 × 24.0 thousand ly,17.190 — catalog band requires verification,57.570 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 34479,HECATE v1.1 via VizieR,169.374025 51.403953,EST 9.9 billion years — object-specific early-spiral stellar-population model; not a direct measurement,14.44200000 / 466.62 million ly,Sa–Sb spiral; de Vaucouleurs T=3.0,0.126 × 0.126 arcmin,"10,010.6 km/s",DERIVED 17.1 × 17.1 thousand ly,15.702 — catalog band requires verification,62.802 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2240350,HECATE v1.1 via VizieR,125.010496 44.264054,EST 10.2 billion years — object-specific early-spiral stellar-population model; not a direct measurement,14.44100000 / 334.96 million ly,Early spiral / S0-a; de Vaucouleurs T=1.0,0.265 × 0.160 arcmin,"6,991.2 km/s",DERIVED 25.8 × 15.6 thousand ly,16.438 — catalog band requires verification,62.622 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3996399,HECATE v1.1 via VizieR,124.980511 25.459141,EST 7.2 billion years — object-specific late-type stellar-population model; not a direct measurement,17.20400000 / 277.90 million ly,Irregular; de Vaucouleurs T=10.0,0.182 × 0.121 arcmin,"6,005.9 km/s",DERIVED 14.7 × 9.8 thousand ly,18.028 — catalog band requires verification,60.728 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3086622,HECATE v1.1 via VizieR,86.278250 62.807778,EST 8.8 billion years — object-specific general galaxy stellar-population model; not a direct measurement,13.76100000 / 204.36 million ly,Not available,0.330 × 0.198 arcmin,"4,285.0 km/s",DERIVED 19.6 × 11.8 thousand ly,16.340 — catalog band requires verification,60.980 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2049696,HECATE v1.1 via VizieR,43.568136 34.469523,EST 9.5 billion years — object-specific general galaxy stellar-population model; not a direct measurement,14.87200000 / 343.17 million ly,Not available,0.229 × 0.129 arcmin,"7,336.4 km/s",DERIVED 22.9 × 12.9 thousand ly,16.530 — catalog band requires verification,60.386 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1425068,HECATE v1.1 via VizieR,142.387132 13.192741,EST 9.7 billion years — object-specific early-spiral stellar-population model; not a direct measurement,15.44100000 / 272.36 million ly,Sa–Sb spiral; de Vaucouleurs T=2.1,0.177 × 0.132 arcmin,"5,942.5 km/s",DERIVED 14.0 × 10.5 thousand ly,17.065 — catalog band requires verification,61.643 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2437030,HECATE v1.1 via VizieR,0.092083 53.294611,EST 9.1 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 583.30 million ly,Not available,0.308 × 0.155 arcmin,"12,745.0 km/s",DERIVED 52.3 × 26.3 thousand ly,16.360 — catalog band requires verification,58.872 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 5545,HECATE v1.1 via VizieR,22.262320 32.332250,EST 10.5 billion years — object-specific lenticular/early-type stellar-population model; not a direct measurement,12.76700000 / 220.51 million ly,Lenticular / S0; de Vaucouleurs T=-1.9,0.603 × 0.162 arcmin,"5,385.5 km/s",DERIVED 38.7 × 10.4 thousand ly,14.534 — catalog band requires verification,65.878 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
