Object,Source catalog,ICRS coordinates,Galaxy age,Redshift (z) / Distance,Morphological type,Angular size,Radial velocity,Physical size,Magnitude,Interest score,Distance method,Data source,Data score
PGC29851,RC3,153.525000 39.466667,"EST [mixed/younger stellar populations possible, broadly 1–10 billion years; morphology-based, not a direct measurement]",0.00693100 / 96.82 million ly,LSB [SIMBAD classification],1.160 arcmin [catalog value],"2,070.7 km/s",EST [32.7 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
PGC20172,RC3,106.753333 44.850000,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.05104200 / 712.98 million ly,GiG [SIMBAD classification],0.980 arcmin [catalog value],"14,912.0 km/s",EST [203.2 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1813783,HyperLEDA PGC,57.988750 27.633056,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.450 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1548427,HyperLEDA PGC,38.837083 18.036944,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.550 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
A   0350+72,RC3,58.975000 72.900000,"EST [mixed/younger stellar populations possible, broadly 1–10 billion years; morphology-based, not a direct measurement]",Not available / Not available,Sm / Magellanic spiral; de Vaucouleurs T=7.5 [catalog classification],1.450 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,RC3; values marked EST require verification,46% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1516540,HyperLEDA PGC,54.059167 16.768611,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.370 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1529372,HyperLEDA PGC,43.429583 17.295000,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.490 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC25893,RC3,137.750000 32.083333,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.04236598 / 591.79 million ly,G [SIMBAD classification],0.576 × 0.292 arcmin [catalog value; band/isophote may vary],"12,701.0 km/s",EST [99.2 × 50.3 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,70% [completeness + multi-source agreement; not a scientific certainty score]
PGC 10064,HECATE v1.1,39.887958 17.629389,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.03047342 / 416.00 million ly,GiG [SIMBAD classification],0.744 × 0.203 arcmin [catalog value; band/isophote may vary],"9,135.7 km/s",EST [90.0 × 24.6 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 168482,HECATE v1.1,69.420291 54.260806,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.01786569 / 247.28 million ly,AG? [SIMBAD classification],0.627 × 0.238 arcmin [catalog value; band/isophote may vary],"5,356.0 km/s",EST [45.1 × 17.1 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1511620,HyperLEDA PGC,62.459167 16.557778,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.710 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC22914,RC3,122.500000 57.850000,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.02600132 / 363.20 million ly,G [SIMBAD classification],0.850 arcmin [catalog value],"7,795.0 km/s",EST [89.8 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,70% [completeness + multi-source agreement; not a scientific certainty score]
PGC19745,RC3,102.977083 40.873889,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.01633797 / 228.22 million ly,AG? [SIMBAD classification],0.594 × 0.459 arcmin [catalog value; band/isophote may vary],"4,898.0 km/s",EST [39.4 × 30.4 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,70% [completeness + multi-source agreement; not a scientific certainty score]
PGC10133,RC3,40.137083 38.900278,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.00232096 / 32.42 million ly,GiG [SIMBAD classification],0.520 arcmin [catalog value],695.0 km/s,EST [4.9 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,64% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1388263,HyperLEDA PGC,45.972500 11.057500,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.430 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1239164,HyperLEDA PGC,44.656250 2.853333,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.450 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
NGC  3594,RC3,169.025000 55.683333,"EST [typically old-dominated stellar population, roughly 9–13 billion years; morphology-based, not a direct measurement]",0.02087111 / 291.54 million ly,G [SIMBAD classification],1.110 arcmin [catalog value],"6,257.0 km/s",EST [94.1 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
PGC 7004,RC3,28.341667 19.953333,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.03107717 / 434.10 million ly,GiG [SIMBAD classification],1.030 arcmin [catalog value],"9,172.0 km/s",EST [130.1 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
IC    273,RC3,44.295000 2.775556,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.01071741 / 149.71 million ly,GiG [SIMBAD classification],1.170 arcmin [catalog value],"3,213.0 km/s",EST [51.0 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,78% [completeness + multi-source agreement; not a scientific certainty score]
NGC  2543,RC3,123.243333 36.254167,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.00822903 / 114.95 million ly,GiP [SIMBAD classification],1.370 arcmin [catalog value],"2,467.0 km/s",EST [45.8 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,78% [completeness + multi-source agreement; not a scientific certainty score]
IC    750,RC3,179.715833 42.722222,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.00234496 / 32.76 million ly,AGN [SIMBAD classification],1.420 arcmin [catalog value],703.0 km/s,EST [13.5 thousand ly; derived from adopted distance and angular size],12.940 [catalog photometry; band must be shown in viewer],Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,86% [completeness + multi-source agreement; not a scientific certainty score]
PGC 6741190,HECATE v1.1,29.505831 16.364442,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.04020114 / 540.00 million ly,Not available,Not available,"12,052.0 km/s",Not available,Not available,Not evaluated by bridge,Not available,HECATE v1.1; values marked EST require verification,60% [completeness + multi-source agreement; not a scientific certainty score]
NGC  1023A,RC3,40.157083 39.057778,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.00247505 / 34.57 million ly,GiG [SIMBAD classification],1.110 arcmin [catalog value],742.0 km/s,EST [11.2 thousand ly; derived from adopted distance and angular size],14.500 [catalog photometry; band must be shown in viewer],Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,78% [completeness + multi-source agreement; not a scientific certainty score]
CGCG465-5             NPM1G+20.0118,HyperLEDA PGC,54.890833 20.528056,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,Not available,0.830 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; values marked EST require verification,38% [completeness + multi-source agreement; not a scientific certainty score]
A   0208+13,RC3,32.887917 13.916389,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.02601800 / 363.43 million ly,Not available,Not available,"7,800.0 km/s",Not available,Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; values marked EST require verification,50% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1461277,HyperLEDA PGC,55.169167 14.561944,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.410 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 10341,HECATE v1.1,40.954757 6.642930,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.02038777 / 265.11 million ly,AG? [SIMBAD classification],1.296 × 0.240 arcmin [catalog value; band/isophote may vary],"6,112.1 km/s",EST [100.0 × 18.5 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 97034,HECATE v1.1,63.002757 38.768692,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.01914991 / 264.35 million ly,G [SIMBAD classification],0.817 × 0.474 arcmin [catalog value; band/isophote may vary],"5,741.0 km/s",EST [62.8 × 36.4 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1484558,HECATE v1.1,50.919834 15.435639,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.03679546 / 496.98 million ly,G [SIMBAD classification],0.433 × 0.347 arcmin [catalog value; band/isophote may vary],"11,031.0 km/s",EST [62.6 × 50.2 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
PGC25035,RC3,133.778333 18.933611,"EST [mixed/younger stellar populations possible, broadly 1–10 billion years; morphology-based, not a direct measurement]",0.01377432 / 192.41 million ly,AG? [SIMBAD classification],1.130 arcmin [catalog value],"4,101.0 km/s",EST [63.2 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1636967,HECATE v1.1,28.461596 20.836962,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.03215558 / 441.25 million ly,G [SIMBAD classification],0.354 × 0.158 arcmin [catalog value; band/isophote may vary],"9,640.0 km/s",EST [45.4 × 20.2 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1482742,HyperLEDA PGC,38.706667 15.367222,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.510 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
UGC1364,HyperLEDA PGC,28.515417 14.909444,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.01700000 / 237.46 million ly,EmG [SIMBAD classification],0.920 arcmin [catalog value],"5,053.2 km/s",EST [63.5 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],HyperLEDA PGC; SIMBAD; values marked EST require verification,64% [completeness + multi-source agreement; not a scientific certainty score]
IC   2524,RC3,149.386250 33.617778,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.00495676 / 69.24 million ly,EmG [SIMBAD classification],0.800 arcmin [catalog value],"1,486.0 km/s",EST [16.1 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,70% [completeness + multi-source agreement; not a scientific certainty score]
PGC 6455,HECATE v1.1,26.404667 23.437361,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.03435810 / 470.56 million ly,G [SIMBAD classification],0.530 × 0.376 arcmin [catalog value; band/isophote may vary],"10,300.3 km/s",EST [72.5 × 51.5 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC21207,RC3,112.850000 62.466667,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.01692481 / 236.41 million ly,AG? [SIMBAD classification],1.080 arcmin [catalog value],"5,031.0 km/s",EST [74.3 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
PGC34735,RC3,170.150000 33.100000,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.03520000 / 491.69 million ly,G [SIMBAD classification],0.960 arcmin [catalog value],"10,367.1 km/s",EST [137.3 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
PGC22691,RC3,121.250000 85.800000,"EST [mixed/younger stellar populations possible, broadly 1–10 billion years; morphology-based, not a direct measurement]",0.01213800 / 169.55 million ly,AG? [SIMBAD classification],1.040 arcmin [catalog value],"3,616.8 km/s",EST [51.3 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
PGC 12596,HECATE v1.1,50.392554 41.506122,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.02404664 / 340.57 million ly,GiG [SIMBAD classification],0.860 × 0.327 arcmin [catalog value; band/isophote may vary],"7,209.0 km/s",EST [85.2 × 32.4 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 5076498,HECATE v1.1,44.762532 0.863591,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.03126196 / 422.34 million ly,Not available,Not available,"9,372.1 km/s",Not available,Not available,Not evaluated by bridge,Not available,HECATE v1.1; values marked EST require verification,60% [completeness + multi-source agreement; not a scientific certainty score]
IC   1105,RC3,228.325000 4.266667,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.03646523 / 509.36 million ly,GiP [SIMBAD classification],0.940 arcmin [catalog value],"10,932.0 km/s",EST [139.3 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,70% [completeness + multi-source agreement; not a scientific certainty score]
PGC32863,RC3,164.040417 47.392222,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.02149000 / 300.18 million ly,Sy2 [SIMBAD classification],1.040 arcmin [catalog value],"6,373.3 km/s",EST [90.8 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
PGC 5916,RC3,23.881250 47.549444,"EST [mixed/younger stellar populations possible, broadly 1–10 billion years; morphology-based, not a direct measurement]",0.01793307 / 250.50 million ly,AG? [SIMBAD classification],1.220 arcmin [catalog value],"5,328.0 km/s",EST [88.9 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
NGC1036               IC1828                UGC2160               MCG3-07-041           CGCG462-41            MRK370                IRAS02376+1904,HyperLEDA PGC,40.121250 19.296944,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,Not available,1.150 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; values marked EST require verification,38% [completeness + multi-source agreement; not a scientific certainty score]
PGC23309,RC3,124.725000 22.100000,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.01172344 / 163.76 million ly,AG? [SIMBAD classification],0.655 × 0.434 arcmin [catalog value; band/isophote may vary],"3,494.0 km/s",EST [31.2 × 20.7 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,64% [completeness + multi-source agreement; not a scientific certainty score]
PGC 9413,HECATE v1.1,37.113625 15.607083,"EST [mixed/younger stellar populations possible, broadly 1–10 billion years; morphology-based, not a direct measurement]",0.01360641 / 190.14 million ly,AG? [SIMBAD classification],1.320 × 0.187 arcmin [catalog value; band/isophote may vary],"4,079.1 km/s",EST [73.0 × 10.3 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 12196,HECATE v1.1,49.278333 31.583389,"EST [mixed/younger stellar populations possible, broadly 1–10 billion years; morphology-based, not a direct measurement]",0.01379421 / 191.57 million ly,GiP [SIMBAD classification],0.557 × 0.501 arcmin [catalog value; band/isophote may vary],"4,135.4 km/s",EST [31.0 × 27.9 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1397822,HyperLEDA PGC,38.649583 11.723056,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.02686576 / 375.27 million ly,G [SIMBAD classification],0.880 arcmin [catalog value],"7,946.0 km/s",EST [96.1 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],HyperLEDA PGC; SIMBAD; values marked EST require verification,64% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1502977,HyperLEDA PGC,30.042917 16.192500,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.580 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1469599,HyperLEDA PGC,32.440833 14.885278,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.510 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 3090585,HECATE v1.1,41.351374 15.847028,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.02509403 / 345.58 million ly,G [SIMBAD classification],0.210 × 0.181 arcmin [catalog value; band/isophote may vary],"7,523.0 km/s",EST [21.1 × 18.2 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
PGC13274,RC3,53.850000 80.100000,"EST [mixed/younger stellar populations possible, broadly 1–10 billion years; morphology-based, not a direct measurement]",0.00737200 / 102.98 million ly,LSB [SIMBAD classification],1.190 arcmin [catalog value],"2,201.9 km/s",EST [35.6 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
PGC 97014,HECATE v1.1,54.302875 41.305333,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.04035792 / 545.83 million ly,G [SIMBAD classification],0.260 × 0.208 arcmin [catalog value; band/isophote may vary],"12,099.0 km/s",EST [41.3 × 33.0 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1523045,HyperLEDA PGC,57.371250 17.036389,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.460 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1483425,HyperLEDA PGC,27.531667 15.393056,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.580 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC18101,RC3,88.975000 85.850000,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.01920000 / 268.19 million ly,AG? [SIMBAD classification],0.850 arcmin [catalog value],"5,700.8 km/s",EST [66.3 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,64% [completeness + multi-source agreement; not a scientific certainty score]
DRCG9-22,HyperLEDA PGC,44.490000 5.786667,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,Not available,Not available,Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; values marked EST require verification,28% [completeness + multi-source agreement; not a scientific certainty score]
IC   2341,RC3,125.925000 21.433333,"EST [typically old-dominated stellar population, roughly 9–13 billion years; morphology-based, not a direct measurement]",0.01616452 / 225.79 million ly,LIN [SIMBAD classification],1.110 arcmin [catalog value],"4,846.0 km/s",EST [72.9 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,78% [completeness + multi-source agreement; not a scientific certainty score]
PGC 9505,HECATE v1.1,37.457459 29.741667,"EST [mixed/younger stellar populations possible, broadly 1–10 billion years; morphology-based, not a direct measurement]",0.01544402 / 212.74 million ly,AG? [SIMBAD classification],0.847 × 0.375 arcmin [catalog value; band/isophote may vary],"4,630.0 km/s",EST [52.4 × 23.2 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
NGC  3985,RC3,179.175000 48.335000,"EST [mixed/younger stellar populations possible, broadly 1–10 billion years; morphology-based, not a direct measurement]",0.00308547 / 43.10 million ly,GiG [SIMBAD classification],1.110 arcmin [catalog value],925.0 km/s,EST [13.9 thousand ly; derived from adopted distance and angular size],13.120 [catalog photometry; band must be shown in viewer],Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,86% [completeness + multi-source agreement; not a scientific certainty score]
PGC 6728,RC3,27.515417 16.438333,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.01676535 / 234.19 million ly,LSB [SIMBAD classification],1.060 arcmin [catalog value],"4,984.0 km/s",EST [72.2 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
PGC 5057065,HECATE v1.1,42.958245 26.052722,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.03388344 / 464.50 million ly,Not available,Not available,"10,158.0 km/s",Not available,Not available,Not evaluated by bridge,Not available,HECATE v1.1; values marked EST require verification,60% [completeness + multi-source agreement; not a scientific certainty score]
PGC30187,RC3,154.925000 52.066667,"EST [mixed/younger stellar populations possible, broadly 1–10 billion years; morphology-based, not a direct measurement]",0.00221064 / 30.88 million ly,AG? [SIMBAD classification],1.070 arcmin [catalog value],662.0 km/s,EST [9.6 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
PGC28770,RC3,149.420000 45.258611,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.02415338 / 337.39 million ly,G [SIMBAD classification],0.970 arcmin [catalog value],"7,241.0 km/s",EST [95.2 thousand ly; derived from adopted distance and angular size],15.300 [catalog photometry; band must be shown in viewer],Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,78% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1248429,HyperLEDA PGC,43.917083 3.256667,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.490 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 9669,RC3,38.133333 31.608889,"EST [mixed/younger stellar populations possible, broadly 1–10 billion years; morphology-based, not a direct measurement]",0.01696214 / 236.93 million ly,AG? [SIMBAD classification],0.820 arcmin [catalog value],"5,042.0 km/s",EST [56.5 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1177104,HECATE v1.1,44.623618 0.846115,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.04251441 / 566.85 million ly,EmG [SIMBAD classification],0.164 × 0.155 arcmin [catalog value; band/isophote may vary],"12,745.5 km/s",EST [27.0 × 25.6 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
